Time,Forward,Backward,Right,Left,Speed
0.0,36,36,74,74,0.0
0.10876655578613281,36,36,74,74,0.0
0.21423125267028809,36,36,74,74,0.0
0.32004618644714355,36,36,74,74,0.0
0.42377567291259766,36,36,74,74,0.0
0.5241079330444336,36,36,74,74,0.0
0.624847412109375,36,36,74,74,0.0
0.7323722839355469,36,36,74,74,0.0
0.8363940715789795,36,36,74,74,0.0
0.9440097808837891,36,36,74,74,0.0
1.0445399284362793,36.01736481776669,36.003472963553335,74,74,0.006945927106677215
1.1463932991027832,36.267418193607064,36.19101299543362,74,74,0.03820259908672468
1.2527096271514893,36.79878161726787,36.65986307513433,74,74,0.06945927106677215
1.3610262870788574,37.7191169589026,37.51073914570229,74,74,0.10418890660015821
1.4613838195800781,38.84435715018431,38.5734659930239,74,74,0.13544557858020573
1.5698034763336182,40.25090738928645,39.91750288816594,74.1528103963469,74.09724297949347,0.1690017005707157
1.677438497543335,41.93876767620902,41.542849831128414,74.59040380406756,74.47232304325405,0.2065756557096972
1.784092903137207,44.14409953257904,43.67872241643166,75.40655023910212,75.21901020722184,0.25087204098469446
1.887558937072754,46.425836587122504,45.89794612701503,76.43802041444368,76.18796703860332,0.2920595096216033
1.995295763015747,48.9888836894864,48.39847988541884,77.75080063760569,77.4382339178052,0.33401893890327494
2.097151756286621,51.833240839670715,51.18032369164306,79.34489090858811,78.96981084482753,0.37649231612982637
2.2050180435180664,55.32356921077602,54.60119279168159,81.44603385835796,81.00149452353062,0.42409990305128226
2.3052375316619873,58.761803128581235,57.97691336552671,83.6340008969613,83.12694821817387,0.46721364471013277
2.412128210067749,62.91199457482087,62.057645540699575,86.3950069218655,85.81849497201128,0.5153344303529251
2.513749837875366,66.48220110765295,65.57228465667824,88.85386511762921,88.2217857509216,0.5539567387377679
2.6203598976135254,70.76436516891945,69.79193537398464,91.88576229969384,91.1911695890261,0.5975112425280565
2.7215006351470947,74.7131247290654,73.72680307991725,94.8169435387116,94.06678341119047,0.6195907142019004
2.827803134918213,79.15157215023208,78.16525050108393,98.38020414443703,97.56753067295578,0.6389969809842047
2.9286863803863525,83.59001957139877,82.60369792225062,102.22477479798286,101.34958798254152,0.6593144844269475
